  Loading openmpi/3.1.1 for compiler gnu-4.8.5
1; 1; 100; 0.067724
1; 1; 200; 1.067637
1; 1; 400; 8.518314
1; 1; 800; 69.615371
1; 2; 100; 0.038347
1; 2; 200; 0.544419
1; 2; 400; 4.283753
1; 2; 800; 34.131412
1; 3; 100; 0.028396
1; 3; 200; 0.366262
1; 3; 400; 2.865894
1; 3; 800; 22.952629
1; 4; 100; 0.024716
1; 4; 200; 0.281363
1; 4; 400; 2.163853
1; 4; 800; 17.150084
1; 5; 100; 0.022577
1; 5; 200; 0.229736
1; 5; 400; 1.740945
1; 5; 800; 13.716562
1; 6; 100; 0.022722
1; 6; 200; 0.197738
1; 6; 400; 1.462694
1; 6; 800; 11.462425
1; 7; 100; 0.024341
1; 7; 200; 0.176411
1; 7; 400; 1.273144
1; 7; 800; 9.872646
1; 8; 100; 0.033538
1; 8; 200; 0.163847
1; 8; 400; 1.150775
1; 8; 800; 8.788950
2; 1; 100; 0.064279
2; 1; 200; 0.578338
2; 1; 400; 4.339776
2; 1; 800; 34.347204
2; 2; 100; 0.051612
2; 2; 200; 0.320607
2; 2; 400; 2.236692
2; 2; 800; 17.274301
2; 3; 100; 0.047493
2; 3; 200; 0.232098
2; 3; 400; 1.524755
2; 3; 800; 11.611975
2; 4; 100; 0.046757
2; 4; 200; 0.191666
2; 4; 400; 1.174337
2; 4; 800; 8.776424
2; 5; 100; 0.047770
2; 5; 200; 0.156945
2; 5; 400; 0.966032
2; 5; 800; 7.088933
2; 6; 100; 0.043674
2; 6; 200; 0.156400
2; 6; 400; 0.819964
2; 6; 800; 5.959654
2; 7; 100; 0.050106
2; 7; 200; 0.145068
2; 7; 400; 0.736189
2; 7; 800; 5.183623
2; 8; 100; 0.042139
2; 8; 200; 0.127965
2; 8; 400; 0.674211
2; 8; 800; 4.623024
3; 1; 100; 0.071166
3; 1; 200; 0.406625
3; 1; 400; 2.937614
3; 1; 800; 22.955922
3; 2; 100; 0.061308
3; 2; 200; 0.253090
3; 2; 400; 1.544189
3; 2; 800; 11.645003
3; 3; 100; 0.061316
3; 3; 200; 0.192641
3; 3; 400; 1.064389
3; 3; 800; 7.853857
3; 4; 100; 0.061312
3; 4; 200; 0.172144
3; 4; 400; 0.849284
3; 4; 800; 5.982276
3; 5; 100; 0.051332
3; 5; 200; 0.152281
3; 5; 400; 0.706511
3; 5; 800; 4.883840
3; 6; 100; 0.061202
3; 6; 200; 0.133710
3; 6; 400; 0.630128
3; 6; 800; 4.133007
3; 7; 100; 0.073493
3; 7; 200; 0.156583
