1; 100; 0.033558
1; 200; 1.065447
1; 400; 8.507523
1; 800; 69.354724
2; 100; 0.020878
2; 200; 0.538843
2; 400; 4.273943
2; 800; 34.147908
3; 100; 0.016211
3; 200; 0.365076
3; 400; 2.870759
3; 800; 22.770658
4; 100; 0.014281
4; 200; 0.277059
4; 400; 2.149894
4; 800; 17.081330
5; 100; 0.015082
5; 200; 0.225415
5; 400; 1.729168
5; 800; 13.689896
6; 100; 0.015212
6; 200; 0.194898
6; 400; 1.456847
6; 800; 11.484246
7; 100; 0.016224
7; 200; 0.169138
7; 400; 1.260197
7; 800; 9.887008
8; 100; 0.037549
8; 200; 0.151616
8; 400; 1.133343
8; 800; 8.677031
