8; 8; 0.00308364
8; 12; 0.0443249
8; 14; 1.29151
8; 16; 59.8587
7; 8; 0.00318573
7; 12; 0.0393186
7; 14; 1.2937
7; 16; 81.6995
6; 8; 0.000431312
6; 12; 0.0350701
6; 14; 1.79074
6; 16; 87.4823
5; 8; 0.000421947
5; 12; 0.0496588
5; 14; 1.86079
5; 16; 90.7896
4; 8; 0.000382657
4; 12; 0.0496174
4; 14; 2.43367
4; 16; 112.649
3; 8; 0.000360671
3; 12; 0.0660729
3; 14; 3.02275
3; 16; 144.168
2; 8; 0.000271015
2; 12; 0.0899628
2; 14; 3.80712
2; 16; 200.937
1; 8; 0.000260103
1; 12; 0.177365
1; 14; 7.51242
1; 16; 397.794
