1; 200; 0.013955
1; 400; 0.327466
1; 800; 3.361059
1; 1600; 38.323662
2; 200; 0.007232
2; 400; 0.164220
2; 800; 1.562712
2; 1600; 19.392701
3; 200; 0.004982
3; 400; 0.109143
3; 800; 1.124376
3; 1600; 9.604197
4; 200; 0.003852
4; 400; 0.082979
4; 800; 0.842260
4; 1600; 4.788844
5; 200; 0.003718
5; 400; 0.065757
5; 800; 0.691049
5; 1600; 8.436589
6; 200; 0.002802
6; 400; 0.055877
6; 800; 0.575683
6; 1600; 5.461236
7; 200; 0.003791
7; 400; 0.049069
7; 800; 0.502487
7; 1600; 3.125296
8; 200; 0.002257
8; 400; 0.053239
8; 800; 0.651321
8; 1600; 5.420432
